symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
AP0,0.9477678571428573,0.6822916666666666,0.844232142857143,3,9
AU0,0.8999255952380952,0.5989583333333334,0.7825483630952381,6,18
M0,0.9008184523809524,0.5885416666666666,0.7790305059523809,5,22
LH0,0.9718005952380953,0.46875,0.7756108630952382,1,34
A0,0.9584077380952382,0.4427083333333333,0.7572849702380953,2,38
B0,0.9276041666666668,0.2864583333333333,0.6775572916666667,4,58
JD0,0.7366815476190477,0.5520833333333334,0.6646882440476192,13,24
C0,0.8823660714285713,0.2760416666666667,0.6458995535714285,7,61
SF0,0.6473958333333334,0.6145833333333334,0.6345989583333334,20,16
WR0,0.7235119047619047,0.4895833333333333,0.6322797619047619,14,32
UR0,0.8045386904761905,0.3541666666666667,0.6288936011904762,9,50
RR0,0.8569940476190475,0.24479166666666666,0.618235119047619,8,62
RM0,0.7783482142857143,0.3333333333333333,0.6047924107142857,11,53
FB0,0.692485119047619,0.4479166666666667,0.5971034226190476,17,37
OI0,0.7089285714285714,0.421875,0.5969776785714285,15,44
CS0,0.7610119047619047,0.328125,0.5921860119047618,12,54
AO0,0.3619791666666667,0.9270833333333334,0.5823697916666667,42,2
PK0,0.7861607142857142,0.21354166666666666,0.5628392857142857,10,63
EG0,0.5744791666666667,0.5208333333333334,0.5535572916666667,24,27
EB0,0.5151041666666666,0.578125,0.5396822916666666,27,23
SI0,0.3831845238095238,0.78125,0.5384300595238095,39,7
CJ0,0.6860119047619048,0.2864583333333333,0.5301860119047619,18,59
FG0,0.6598958333333333,0.3229166666666667,0.5284739583333333,19,55
SP0,0.31406249999999997,0.8489583333333334,0.522671875,49,5
I0,0.45037202380952385,0.6302083333333334,0.5205081845238095,32,14
AG0,0.6276041666666666,0.3489583333333333,0.5189322916666667,21,51
RB0,0.6168154761904762,0.359375,0.5164136904761905,22,49
JM0,0.2506696428571429,0.9166666666666666,0.5104084821428572,53,3
SH0,0.20915178571428572,0.9739583333333334,0.5074263392857143,57,1
SA0,0.3927083333333334,0.6822916666666666,0.5056458333333333,37,10
V0,0.5343005952380953,0.4427083333333333,0.49857961309523813,25,40
MA0,0.31302083333333336,0.78125,0.4956302083333334,50,6
PP0,0.5945684523809524,0.3177083333333333,0.4865930059523809,23,56
Y0,0.46629464285714284,0.5104166666666666,0.48350223214285715,28,30
EC0,0.45639880952380946,0.515625,0.4794970238095238,30,28
PB0,0.3907738095238095,0.6145833333333334,0.4780595238095238,38,15
RS0,0.6930803571428572,0.140625,0.4776227678571429,16,64
HC0,0.46049107142857143,0.4427083333333333,0.45355580357142855,29,39
PF0,0.34754464285714287,0.5989583333333334,0.44559598214285717,46,20
SC0,0.3813988095238095,0.5260416666666666,0.43780952380952376,40,26
SM0,0.43474702380952385,0.4375,0.4358206845238095,33,41
AL0,0.3611607142857143,0.546875,0.4335892857142857,43,25
NI0,0.4131696428571428,0.4635416666666667,0.4328147321428571,34,36
SR0,0.5221726190476191,0.2864583333333333,0.43024404761904766,26,60
J0,0.4545386904761905,0.390625,0.4296123511904762,31,47
TA0,0.3113095238095238,0.6041666666666666,0.4255238095238095,51,17
LC0,0.1299107142857143,0.859375,0.4144017857142857,62,4
BC0,0.40513392857142855,0.4010416666666667,0.40353794642857144,36,45
CU0,0.4053571428571428,0.390625,0.3996116071428571,35,46
BU0,0.37842261904761904,0.4322916666666667,0.39943154761904764,41,42
FU0,0.32008928571428574,0.515625,0.3963482142857143,47,29
ZN0,0.2311011904761905,0.6510416666666666,0.39487797619047615,56,13
LU0,0.3506696428571428,0.4635416666666667,0.3946897321428571,45,35
CF0,0.3580357142857143,0.421875,0.3829330357142857,44,43
L0,0.19367559523809522,0.6770833333333334,0.3822046130952381,59,11
PX0,0.24456845238095234,0.59375,0.38074925595238096,54,21
BR0,0.08430059523809523,0.7291666666666666,0.3357983630952381,64,8
RU0,0.13117559523809524,0.6510416666666666,0.33392336309523807,61,12
PG0,0.3195684523809524,0.3020833333333333,0.31274925595238096,48,57
NR0,0.12879464285714287,0.5989583333333334,0.3121584821428572,63,19
SS0,0.18229166666666666,0.5052083333333334,0.30822916666666667,60,31
CY0,0.20290178571428572,0.46875,0.3065825892857143,58,33
SN0,0.2519345238095238,0.3645833333333333,0.2958675595238095,52,48
P0,0.2417410714285714,0.3333333333333333,0.27746205357142856,55,52
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
