symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
CU0,0.9670386904761905,0.8958333333333334,0.9392686011904763,1,2
BC0,0.9620535714285715,0.8802083333333334,0.9301339285714287,2,3
AU0,0.890029761904762,0.8020833333333334,0.8557306547619049,4,6
SR0,0.9161458333333333,0.53125,0.7660364583333333,3,26
AG0,0.7616071428571428,0.7291666666666666,0.7489553571428571,7,9
LH0,0.7519345238095237,0.6770833333333334,0.7227425595238095,8,11
SN0,0.7029017857142857,0.6510416666666666,0.6826763392857143,12,18
UR0,0.8661458333333334,0.390625,0.6806927083333334,5,46
PB0,0.6998511904761905,0.5677083333333334,0.6483154761904761,13,23
OI0,0.8030505952380952,0.3958333333333333,0.6442358630952381,6,45
CS0,0.6350446428571429,0.6510416666666666,0.6412834821428572,18,17
Y0,0.7317336309523809,0.46875,0.6291700148809524,11,35
SC0,0.7438988095238095,0.4166666666666667,0.6162782738095238,9,41
FG0,0.5621279761904762,0.6354166666666666,0.5907105654761904,26,19
PX0,0.683407738095238,0.4427083333333333,0.5895349702380952,15,39
LU0,0.6248511904761905,0.5208333333333334,0.5842842261904763,20,27
FU0,0.6608630952380952,0.3802083333333333,0.551407738095238,17,47
TA0,0.6723214285714286,0.3541666666666667,0.5482410714285715,16,50
C0,0.5426339285714286,0.5364583333333334,0.5402254464285714,29,25
RM0,0.6213541666666667,0.4010416666666667,0.5354322916666667,22,44
B0,0.609672619047619,0.3645833333333333,0.5140877976190477,24,49
JD0,0.34241071428571423,0.78125,0.5135580357142857,50,8
AL0,0.5200148809523809,0.5,0.5122090773809523,31,30
MA0,0.6162202380952381,0.34375,0.5099568452380953,23,53
FB0,0.7356398809523809,0.14583333333333334,0.5056153273809523,10,64
RR0,0.605282738095238,0.3489583333333333,0.5053162202380952,25,52
P0,0.6855282738095237,0.21875,0.5034847470238094,14,62
CY0,0.6218750000000001,0.2864583333333333,0.4910625,21,57
SS0,0.5069940476190476,0.453125,0.4859851190476191,32,37
PP0,0.3659970238095238,0.671875,0.4852894345238095,47,13
M0,0.5513392857142857,0.3802083333333333,0.48459821428571426,28,48
WR0,0.41651785714285716,0.5729166666666666,0.4775133928571429,40,22
NI0,0.4628720238095238,0.5,0.47735193452380953,36,31
CF0,0.6328869047619048,0.22395833333333334,0.4734047619047619,19,61
AO0,0.1460565476190476,0.96875,0.46690699404761904,60,1
EG0,0.196875,0.8645833333333334,0.45728125000000003,54,4
V0,0.3540922619047619,0.59375,0.4475587797619047,48,21
NR0,0.4682291666666667,0.4010416666666667,0.4420260416666667,34,43
JM0,0.2898065476190476,0.671875,0.438813244047619,51,12
BU0,0.5531250000000001,0.2552083333333333,0.4369375000000001,27,59
SF0,0.39620535714285715,0.4739583333333333,0.42652901785714287,43,34
J0,0.19486607142857146,0.7864583333333334,0.4255870535714286,55,7
PK0,0.38385416666666666,0.4895833333333333,0.42508854166666665,45,32
SA0,0.3984375,0.453125,0.41976562500000003,42,36
PG0,0.46473214285714287,0.3489583333333333,0.41958035714285713,35,51
PF0,0.34761904761904755,0.5052083333333334,0.40907886904761903,49,29
AP0,0.4816964285714285,0.2916666666666667,0.4075848214285714,33,56
SI0,0.11361607142857144,0.8541666666666666,0.4024308035714286,64,5
SP0,0.39486607142857144,0.4114583333333333,0.40133705357142857,44,42
ZN0,0.4558035714285715,0.296875,0.3938214285714286,37,55
I0,0.3755952380952381,0.421875,0.3936443452380952,46,40
L0,0.1806547619047619,0.6979166666666666,0.38238690476190473,58,10
BR0,0.5227678571428571,0.16145833333333334,0.38185714285714284,30,63
RU0,0.26517857142857143,0.5625,0.3811339285714286,52,24
RS0,0.4055059523809524,0.3333333333333333,0.377358630952381,41,54
A0,0.19293154761904763,0.65625,0.37362574404761906,56,15
EC0,0.4453125,0.2604166666666667,0.37320312499999997,38,58
EB0,0.17708333333333334,0.6614583333333334,0.36598958333333337,59,14
HC0,0.4427083333333333,0.23958333333333334,0.3634895833333333,39,60
RB0,0.25543154761904757,0.5208333333333334,0.35893824404761904,53,28
CJ0,0.1879464285714286,0.609375,0.35230357142857144,57,20
SH0,0.12455357142857143,0.65625,0.33191517857142855,63,16
SM0,0.1421875,0.4895833333333333,0.277671875,61,33
LC0,0.13430059523809523,0.4427083333333333,0.25457961309523813,62,38
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
