date,open,high,low,close,volume,open_interest,settle_price,exchange,product
2022-03-09,9200.0,9343.0,9120.0,9227.0,1056059.0,347946.0,9229.0,DCE,PVC连续
2022-03-10,9143.0,9143.0,8853.0,9100.0,962030.0,325807.0,9009.0,DCE,PVC连续
2022-03-11,9175.0,9375.0,9088.0,9156.0,1115672.0,333270.0,9223.0,DCE,PVC连续
2022-03-14,9130.0,9252.0,8973.0,8976.0,864036.0,324317.0,9091.0,DCE,PVC连续
2022-03-15,8976.0,8998.0,8754.0,8758.0,808743.0,308110.0,8895.0,DCE,PVC连续
2022-03-16,8730.0,8984.0,8701.0,8968.0,670939.0,304408.0,8850.0,DCE,PVC连续
2022-03-17,9000.0,9128.0,8965.0,9042.0,926669.0,331202.0,9052.0,DCE,PVC连续
2022-03-18,9100.0,9150.0,8952.0,9074.0,867048.0,332802.0,9031.0,DCE,PVC连续
2022-03-21,9021.0,9060.0,8873.0,8911.0,770969.0,321798.0,8966.0,DCE,PVC连续
2022-03-22,8912.0,9099.0,8882.0,9045.0,640847.0,321481.0,9012.0,DCE,PVC连续
2022-03-23,9050.0,9050.0,8902.0,9013.0,602490.0,312357.0,8960.0,DCE,PVC连续
2022-03-24,9060.0,9185.0,8984.0,9048.0,789542.0,310849.0,9085.0,DCE,PVC连续
2022-03-25,9060.0,9166.0,9027.0,9152.0,666270.0,332852.0,9100.0,DCE,PVC连续
2022-03-28,9105.0,9365.0,9101.0,9248.0,878821.0,347219.0,9227.0,DCE,PVC连续
2022-03-29,9248.0,9349.0,9205.0,9291.0,810534.0,371406.0,9277.0,DCE,PVC连续
2022-03-30,9166.0,9435.0,9110.0,9319.0,944051.0,387560.0,9303.0,DCE,PVC连续
2022-03-31,9319.0,9372.0,9180.0,9242.0,787013.0,356307.0,9268.0,DCE,PVC连续
2022-04-01,9240.0,9460.0,9193.0,9454.0,893880.0,388154.0,9332.0,DCE,PVC连续
2022-04-06,9452.0,9529.0,9252.0,9282.0,591046.0,349084.0,9391.0,DCE,PVC连续
2022-04-07,9300.0,9416.0,9230.0,9252.0,849234.0,330643.0,9330.0,DCE,PVC连续
2022-04-08,9252.0,9256.0,9084.0,9166.0,686916.0,280369.0,9174.0,DCE,PVC连续
2022-04-11,9166.0,9188.0,8990.0,9064.0,536530.0,250855.0,9095.0,DCE,PVC连续
2022-04-12,9075.0,9253.0,9026.0,9242.0,502850.0,234690.0,9128.0,DCE,PVC连续
2022-04-13,9246.0,9250.0,9076.0,9117.0,531532.0,207687.0,9143.0,DCE,PVC连续
2022-04-14,9121.0,9208.0,9121.0,9141.0,418646.0,193127.0,9167.0,DCE,PVC连续
2022-04-15,9116.0,9174.0,9036.0,9073.0,430564.0,178093.0,9097.0,DCE,PVC连续
2022-04-18,9050.0,9250.0,8938.0,9200.0,552935.0,160123.0,9115.0,DCE,PVC连续
2022-04-19,9204.0,9265.0,9034.0,9081.0,480532.0,130962.0,9156.0,DCE,PVC连续
2022-04-20,9050.0,9271.0,9050.0,9199.0,423027.0,118080.0,9182.0,DCE,PVC连续
2022-04-21,9199.0,9199.0,9086.0,9092.0,299598.0,86605.0,9135.0,DCE,PVC连续
2022-04-22,8988.0,9009.0,8813.0,8815.0,614558.0,311255.0,8904.0,DCE,PVC连续
2022-04-25,8828.0,8875.0,8489.0,8500.0,739185.0,348484.0,8678.0,DCE,PVC连续
2022-04-26,8499.0,8672.0,8462.0,8562.0,644866.0,340582.0,8573.0,DCE,PVC连续
2022-04-27,8585.0,8690.0,8567.0,8671.0,624845.0,322954.0,8626.0,DCE,PVC连续
2022-04-28,8671.0,8671.0,8536.0,8628.0,578687.0,332746.0,8603.0,DCE,PVC连续
2022-04-29,8610.0,8663.0,8530.0,8615.0,663853.0,330429.0,8594.0,DCE,PVC连续
2022-05-05,8650.0,8748.0,8573.0,8711.0,449780.0,342593.0,8674.0,DCE,PVC连续
2022-05-06,8745.0,8793.0,8675.0,8683.0,577011.0,341438.0,8734.0,DCE,PVC连续
2022-05-09,8687.0,8730.0,8559.0,8584.0,674880.0,353786.0,8630.0,DCE,PVC连续
2022-05-10,8550.0,8586.0,8402.0,8495.0,710669.0,359496.0,8498.0,DCE,PVC连续
