symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
20号胶连续,,,,64,64
20号胶连续,,,,64,64
20号胶连续,,,,65,65
20号胶连续,,,,66,66
20号胶连续,,0.2222222222222222,,66,46
20号胶连续,0.8461538461538464,0.1777777777777778,0.5119658119658121,8,51
20号胶连续,0.9501361985472155,0.0790960451977401,0.5146161218724778,3,59
20号胶连续,0.8615384615384616,0.07777777777777778,0.46965811965811965,7,57
20号胶连续,0.838827838827839,0.09444444444444444,0.4666361416361417,10,56
20号胶连续,0.6389610389610391,0.07650273224043715,0.3577318856007381,16,58
20号胶连续,0.69349351213758,0.18888888888888888,0.44119120051323446,14,50
20号胶连续,0.7620041161024768,0.21311475409836067,0.4875594351004187,9,53
20号胶连续,0.6656703995157386,0.48022598870056504,0.5729481941081518,14,36
20号胶连续,0.6327387910161143,0.4067796610169491,0.5197592260165317,18,43
20号胶连续,0.4718879990066431,0.26111111111111107,0.3664995550588771,34,52
20号胶连续,0.2311355311355312,0.2833333333333333,0.25723443223443226,48,46
20号胶连续,0.13213150726392253,0.42937853107344637,0.28075501916868445,55,38
20号胶连续,0.1005031779661017,0.5310734463276836,0.3157883121468926,56,33
20号胶连续,0.06996336996336996,0.6222222222222222,0.3460927960927961,58,23
20号胶连续,0.29633699633699634,0.6388888888888888,0.4676129426129426,47,22
20号胶连续,0.4157208434221147,0.7627118644067797,0.5892163539144473,39,7
20号胶连续,0.3802197802197802,0.7277777777777779,0.553998778998779,43,10
20号胶连续,0.35943805488297015,0.672316384180791,0.5158772195318806,45,16
20号胶连续,0.5123335351089588,0.7005649717514123,0.6064492534301855,33,13
20号胶连续,0.4958762106537531,0.6214689265536723,0.5586725686037126,31,18
20号胶连续,0.6290562201892252,0.5229885057471264,0.5760223629681758,22,27
20号胶连续,0.5599511599511601,0.6222222222222222,0.5910866910866912,24,18
20号胶连续,0.5671280006255376,0.7241379310344828,0.6456329658300102,23,8
20号胶连续,0.6306087800145525,0.8538011695906432,0.7422049748025978,14,2
20号胶连续,0.7433918482647296,0.8361581920903954,0.7897750201775625,9,1
20号胶连续,0.8521385565720543,0.7931034482758621,0.8226210024239582,4,4
20号胶连续,0.8523254640839387,0.5819209039548022,0.7171231840193705,4,25
20号胶连续,0.8698099929627024,0.48850574712643685,0.6791578700445696,4,33
20号胶连续,0.8967665456012913,0.288135593220339,0.5924510694108152,2,52
20号胶连续,0.9022270984665054,0.2598870056497175,0.5810570520581114,2,55
20号胶连续,0.7751192430995387,0.25862068965517243,0.5168699663773556,13,55
20号胶连续,0.7315661896942686,0.32758620689655177,0.5295761982954101,15,48
20号胶连续,0.6772459179238842,0.3611111111111111,0.5191785145174976,19,46
